Entry,Gene Ontology (biological process)
A0A023PMT2,antibacterial humoral response [GO:0019731]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; innate immune response [GO:0045087]
A0A059WI14,methylation [GO:0032259]; response to cadmium ion [GO:0046686]
A0A075D654,alkaloid metabolic process [GO:0009820]; methylation [GO:0032259]
A0A075D6M1,alkaloid metabolic process [GO:0009820]; methylation [GO:0032259]
A0A077Y877,iron ion transmembrane transport [GO:0034755]
A0A080WMA9,'de novo' L-methionine biosynthetic process [GO:0071266]; lysine biosynthetic process via diaminopimelate [GO:0009089]; threonine biosynthetic process [GO:0009088]
A0A089LCJ8,carbohydrate metabolic process [GO:0005975]; glucuronoside catabolic process [GO:0019391]
A0A089MMR2,carbohydrate metabolic process [GO:0005975]
A0A0B5JC15,xylan catabolic process [GO:0045493]
A0A0D1CLQ4,cytoplasmic translational elongation [GO:0002182]
A0A0D1E4Y8,appressorium formation [GO:0075016]
A0A0D1E921,appressorium formation [GO:0075016]
A0A0F6B281,protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]; rescue of stalled ribosome [GO:0072344]
A0A0F6B5X3,regulation of DNA-templated transcription [GO:0006355]
A0A0F6B8D9,regulation of DNA-templated transcription [GO:0006355]
A0A0F6BAH8,regulation of DNA-templated transcription [GO:0006355]
A0A0F6NRE2,L-arabinose metabolic process [GO:0046373]
A0A0F7TWW9,isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]
A0A0F7TWX5,sesquiterpenoid biosynthetic process [GO:0016106]
A0A0F7TZ11,mycotoxin biosynthetic process [GO:0043386]
A0A0F7U0K0,mycotoxin biosynthetic process [GO:0043386]
A0A0G4KL96,xylan catabolic process [GO:0045493]
A0A0H2X5R2,NAD biosynthetic process [GO:0009435]
A0A0H2X6L3,NAD biosynthetic process [GO:0009435]
A0A0H2XAU1,DNA-templated transcription [GO:0006351]
A0A0H3KA40,CAAX-box protein maturation [GO:0080120]
A0A0J9VT58,DNA-templated transcription [GO:0006351]
A0A0J9VYS2,DNA-templated transcription [GO:0006351]
A0A0J9W3S9,DNA-templated transcription [GO:0006351]
A0A0J9W9G2,DNA-templated transcription [GO:0006351]
A0A0J9WAS0,DNA-templated transcription [GO:0006351]
A0A0J9WP80,DNA-templated transcription [GO:0006351]
A0A0J9WVC0,DNA-templated transcription [GO:0006351]
A0A0L1JEW4,sterol biosynthetic process [GO:0016126]
A0A0L1JF11,amino acid activation for nonribosomal peptide biosynthetic process [GO:0043041]; secondary metabolite biosynthetic process [GO:0044550]
A0A0L1JF88,methylation [GO:0032259]
A0A0L1JG62,fatty acid biosynthetic process [GO:0006633]; methylation [GO:0032259]; secondary metabolite biosynthetic process [GO:0044550]
A0A0N7FMT9,defense response to bacterium [GO:0042742]; defense response to fungus [GO:0050832]; killing of cells of another organism [GO:0031640]
A0A0N9LWM6,defense response to bacterium [GO:0042742]; defense response to fungus [GO:0050832]; killing of cells of another organism [GO:0031640]
A0A0R0H9T5,positive regulation of response to salt stress [GO:1901002]; protein folding [GO:0006457]; response to abscisic acid [GO:0009737]; response to mannitol [GO:0010555]; response to salt [GO:1902074]
A0A0U3AB61,polysaccharide biosynthetic process [GO:0000271]
A0A0U3S9Q3,alkaloid metabolic process [GO:0009820]
A0A0U4AHM6,alkaloid metabolic process [GO:0009820]
A0A0U4BHM2,alkaloid metabolic process [GO:0009820]
A0A139AVY4,cytoplasmic translational elongation [GO:0002182]; regulation of biosynthetic process [GO:0009889]
A0A172QE52,fatty acid biosynthetic process [GO:0006633]; secondary metabolite biosynthetic process [GO:0044550]
A0A179UL48,'de novo' L-methionine biosynthetic process [GO:0071266]; lysine biosynthetic process via diaminopimelate [GO:0009089]; threonine biosynthetic process [GO:0009088]
A0A194VNL2,MAPK cascade [GO:0000165]
A0A194W8T8,MAPK cascade [GO:0000165]
A0A194WDG1,cell integrity MAPK cascade [GO:0000196]; negative regulation of glucose mediated signaling pathway [GO:1902660]; negative regulation of mitotic cytokinesis [GO:1902413]; positive regulation of calcium ion import across plasma membrane [GO:1905665]; positive regulation of calcium-mediated signaling [GO:0050850]; regulation of fungal-type cell wall biogenesis [GO:0032995]
A0A1B5KW97,stress-activated MAPK cascade [GO:0051403]
A0A1C3NEV1,lipopolysaccharide core region biosynthetic process [GO:0009244]
A0A1D8PMB8,'de novo' L-methionine biosynthetic process [GO:0071266]; homoserine biosynthetic process [GO:0009090]; threonine biosynthetic process [GO:0009088]
A0A1H1YBL2,cysteine biosynthetic process via cystathionine [GO:0019343]; transsulfuration [GO:0019346]
A0A1I1NU16,defense response to virus [GO:0051607]; protein modification by small protein conjugation [GO:0032446]; proteolysis [GO:0006508]
A0A1I1NU27,defense response to virus [GO:0051607]; protein modification by small protein conjugation [GO:0032446]
A0A1I1P074,defense response to virus [GO:0051607]; protein modification by small protein conjugation [GO:0032446]
A0A1I1P2K9,defense response to virus [GO:0051607]; protein modification by small protein conjugation [GO:0032446]
A0A1L8F8I9,positive regulation of Ras protein signal transduction [GO:0046579]
A0A218NGS0,indole alkaloid biosynthetic process [GO:0035835]
A0A223GB52,lysine biosynthetic process via aminoadipic acid [GO:0019878]
A0A223HDH4,mannitol catabolic process [GO:0019592]
A0A2G0QDN4,steroid metabolic process [GO:0008202]
A0A2H1K3G9,cysteine biosynthetic process via cystathionine [GO:0019343]; transsulfuration [GO:0019346]
A0A2K3D1C8,cardiolipin biosynthetic process [GO:0032049]
A0A2P1AAV1,oligopeptide export from mitochondrion [GO:0090374]
A0A2R8QHQ6,fusion of sperm to egg plasma membrane involved in single fertilization [GO:0007342]; heterotypic cell-cell adhesion [GO:0034113]; sperm-egg recognition [GO:0035036]
A0A2Z5U367,alkaloid metabolic process [GO:0009820]
A0A2Z5U3C2,mycotoxin biosynthetic process [GO:0043386]
A0A2Z5U507,biosynthetic process [GO:0009058]
A0A2Z5U6I9,mycotoxin biosynthetic process [GO:0043386]
A0A2Z5UFJ1,methylation [GO:0032259]; secondary metabolite biosynthetic process [GO:0044550]
A0A2Z5UHX0,amino acid activation for nonribosomal peptide biosynthetic process [GO:0043041]; secondary metabolite biosynthetic process [GO:0044550]
A0A364LYQ6,regulation of DNA-templated transcription [GO:0006355]
A0A384J6C4,carbohydrate metabolic process [GO:0005975]; fungal-type cell wall organization [GO:0031505]
A0A384JN58,carbohydrate metabolic process [GO:0005975]; chitin metabolic process [GO:0006030]; fungal-type cell wall organization [GO:0031505]
A0A384JXV5,xylan catabolic process [GO:0045493]
A0A384K116,carbohydrate metabolic process [GO:0005975]; chitin metabolic process [GO:0006030]; fungal-type cell wall organization [GO:0031505]
A0A384K474,xylan catabolic process [GO:0045493]
A0A384K4T0,carbohydrate metabolic process [GO:0005975]; fungal-type cell wall organization [GO:0031505]
A0A385XI11,sorbitol catabolic process [GO:0006062]
A0A385XI13,secondary metabolic process [GO:0019748]
A0A3Q7EKL1,positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]
A0A455LJ99,positive regulation of transcription by RNA polymerase II [GO:0045944]
A0A455ZJD4,amino acid activation for nonribosomal peptide biosynthetic process [GO:0043041]; methylation [GO:0032259]; toxin biosynthetic process [GO:0009403]
A0A455ZKR7,small molecule biosynthetic process [GO:0044283]
A0A455ZMR3,small molecule biosynthetic process [GO:0044283]
A0A482PJF5,biological process involved in symbiotic interaction [GO:0044403]
A0A482PJY4,biological process involved in symbiotic interaction [GO:0044403]
A0A482PUS2,biological process involved in symbiotic interaction [GO:0044403]
A0A498JQK2,coenzyme A biosynthetic process [GO:0015937]; positive regulation of response to salt stress [GO:1901002]; regulation of root development [GO:2000280]; response to salt stress [GO:0009651]
A0A4W3GG95,adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cellular response to acidic pH [GO:0071468]
A0A509AC44,proteolysis [GO:0006508]
A0A509AM03,proteolysis [GO:0006508]
A0A5B9GBF0,stress-activated MAPK cascade [GO:0051403]
A0A5N6H279,regulation of DNA-templated transcription [GO:0006355]
A0A6B9HEI0,antibiotic biosynthetic process [GO:0017000]; methylation [GO:0032259]
A0A6I8PUB9,adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cellular response to acidic pH [GO:0071468]
A0A7G5KET3,gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]; negative regulation of acetyl-CoA biosynthetic process from pyruvate [GO:0160218]
A0A7J6JXB6,plasma membrane organization [GO:0007009]; regulated exocytosis [GO:0045055]; vesicle fusion to plasma membrane [GO:0099500]
A0A7J6K144,exocytosis [GO:0006887]
A0A7J6K2G0,plasma membrane organization [GO:0007009]; regulated exocytosis [GO:0045055]
A0A7J6K9S4,exocytosis [GO:0006887]
A0A7J6KC99,exocytosis [GO:0006887]
A0A7T8F1I4,biosynthetic process [GO:0009058]
A0A7T8J1U7,'de novo' IMP biosynthetic process [GO:0006189]; purine nucleobase biosynthetic process [GO:0009113]
A0A7T8J1Z8,methylation [GO:0032259]; secondary metabolite biosynthetic process [GO:0044550]
A0A7U2MSD6,negative regulation of protein targeting to mitochondrion [GO:1903215]
A0A7U2QYM2,negative regulation of induction of conjugation with cellular fusion [GO:0010515]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; transcription initiation-coupled chromatin remodeling [GO:0045815]
A0A8C2LVE3,gene expression [GO:0010467]; heparan sulfate proteoglycan biosynthetic process [GO:0015012]; heparin proteoglycan metabolic process [GO:0030202]; ureteric bud formation [GO:0060676]
A0A8C2M425,GPI anchor biosynthetic process [GO:0006506]
A0A8I5ZM56,microtubule cytoskeleton organization [GO:0000226]
A0A8I6ASZ5,regulation of protein K48-linked ubiquitination [GO:0061945]; rescue of stalled ribosome [GO:0072344]
A0A8I6GJ95,L-fucose catabolic process [GO:0042355]; steroid catabolic process [GO:0006706]
A0A8I6GM68,"actin filament organization [GO:0007015]; aggresome assembly [GO:0070842]; axonal transport of mitochondrion [GO:0019896]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to misfolded protein [GO:0071218]; cellular response to parathyroid hormone stimulus [GO:0071374]; cellular response to topologically incorrect protein [GO:0035967]; cilium disassembly [GO:0061523]; collateral sprouting [GO:0048668]; dendritic spine morphogenesis [GO:0060997]; epidermal growth factor receptor signaling pathway [GO:0007173]; erythrocyte enucleation [GO:0043131]; intracellular protein transport [GO:0006886]; lysosome localization [GO:0032418]; mitochondrion localization [GO:0051646]; negative regulation of aggrephagy [GO:1905336]; negative regulation of axon extension involved in axon guidance [GO:0048843]; negative regulation of gene expression, epigenetic [GO:0045814]; negative regulation of hydrogen peroxide metabolic process [GO:0010727]; negative regulation of microtubule depolymerization [GO:0007026]; negative regulation of neuron projection development [GO:0010977]; negative regulation of protein-containing complex assembly [GO:0031333]; negative regulation of protein-containing complex disassembly [GO:0043242]; negative regulation of proteolysis [GO:0045861]; neuron differentiation [GO:0030182]; polyubiquitinated misfolded protein transport [GO:0070845]; positive regulation of cellular response to oxidative stress [GO:1900409]; positive regulation of cholangiocyte proliferation [GO:1904056]; positive regulation of dendrite morphogenesis [GO:0050775]; positive regulation of epithelial cell migration [GO:0010634]; positive regulation of intracellular estrogen receptor signaling pathway [GO:0033148]; positive regulation of protein oligomerization [GO:0032461]; positive regulation of synaptic transmission, glutamatergic [GO:0051968]; positive regulation of type 2 mitophagy [GO:1905091]; protein destabilization [GO:0031648]; protein polyubiquitination [GO:0000209]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]; protein-containing complex disassembly [GO:0032984]; regulation of establishment of protein localization [GO:0070201]; regulation of fat cell differentiation [GO:0045598]; regulation of macroautophagy [GO:0016241]; regulation of microtubule cytoskeleton organization [GO:0070507]; regulation of mitochondrion organization [GO:0010821]; regulation of protein stability [GO:0031647]; response to amphetamine [GO:0001975]; response to corticosterone [GO:0051412]; response to dexamethasone [GO:0071548]; response to immobilization stress [GO:0035902]; response to misfolded protein [GO:0051788]; type 2 mitophagy [GO:0061734]; ubiquitin-dependent protein catabolic process [GO:0006511]; ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043162]"
A0A8J1LLF7,apoptotic DNA fragmentation [GO:0006309]; pre-miRNA processing [GO:0031054]; siRNA processing [GO:0030422]
A0A8V0ZB02,drinking behavior [GO:0042756]; intestinal stem cell homeostasis [GO:0036335]; sensory perception of sound [GO:0007605]; surfactant secretion [GO:0160069]
A0A974H8H3,apoptotic DNA fragmentation [GO:0006309]; pre-miRNA processing [GO:0031054]; siRNA processing [GO:0030422]
A0A9E7LUJ4,indole alkaloid biosynthetic process [GO:0035835]
A0A9E7LUL3,indole alkaloid biosynthetic process [GO:0035835]
A0A9E7LUR3,indole alkaloid biosynthetic process [GO:0035835]
A0A9E7S4M3,indole alkaloid biosynthetic process [GO:0035835]
A0A9E7S4M4,indole alkaloid biosynthetic process [GO:0035835]
A0A9E7S518,indole alkaloid biosynthetic process [GO:0035835]
A0A9E7S5B9,indole alkaloid biosynthetic process [GO:0035835]
A0A9E7S5E3,indole alkaloid biosynthetic process [GO:0035835]
A0A9P4XUZ4,DNA repair [GO:0006281]
A0A9P4XWM4,"mRNA splicing, via spliceosome [GO:0000398]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]"
A0A9P5CQV5,methylation [GO:0032259]
A0AA51VIL5,methylation [GO:0032259]
A0AA51VIL7,methylation [GO:0032259]
A0AA51VIM4,methylation [GO:0032259]
A0AA51VKJ3,methylation [GO:0032259]
A0AA51Z0J6,methylation [GO:0032259]
A0AA51Z3J4,amino acid metabolic process [GO:0006520]; carboxylic acid metabolic process [GO:0019752]
A0AA51Z3S7,methylation [GO:0032259]
A0AAE9G628,symbiont entry into host cell [GO:0046718]
A0AAN4PAE6,L-phenylalanine catabolic process [GO:0006559]
A0AAN4PB13,amino acid activation for nonribosomal peptide biosynthetic process [GO:0043041]; secondary metabolite biosynthetic process [GO:0044550]
A0AAN4PBA1,biosynthetic process [GO:0009058]; secondary metabolic process [GO:0019748]
A0AAQ4VMX2,"complement activation [GO:0006956]; complement activation, classical pathway [GO:0006958]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]"
A0AAT9JA24,L-fucose catabolic process [GO:0042355]; steroid catabolic process [GO:0006706]
A0AAW1HA02,cell wall organization [GO:0071555]; cellulose biosynthetic process [GO:0030244]; glycosylation [GO:0070085]; saponin biosynthetic process [GO:0016135]; triterpenoid biosynthetic process [GO:0016104]
A0AAW1I778,carbohydrate metabolic process [GO:0005975]; saponin biosynthetic process [GO:0016135]; triterpenoid biosynthetic process [GO:0016104]
A0AAW1IQ05,glycosylation [GO:0070085]; saponin biosynthetic process [GO:0016135]; triterpenoid biosynthetic process [GO:0016104]
A0AAW1J1B8,glycosylation [GO:0070085]; saponin biosynthetic process [GO:0016135]; triterpenoid biosynthetic process [GO:0016104]
A0AAW1J8D7,saponin biosynthetic process [GO:0016135]; triterpenoid biosynthetic process [GO:0016104]
A0AAW1J9R8,glycosylation [GO:0070085]; saponin biosynthetic process [GO:0016135]; triterpenoid biosynthetic process [GO:0016104]
A0AAW1JA93,saponin biosynthetic process [GO:0016135]; sterol metabolic process [GO:0016125]; triterpenoid biosynthetic process [GO:0016104]
A0AAW1K8I9,glycosylation [GO:0070085]; saponin biosynthetic process [GO:0016135]; triterpenoid biosynthetic process [GO:0016104]
A0AAW1L0L7,saponin biosynthetic process [GO:0016135]; triterpenoid biosynthetic process [GO:0016104]
A0AAW1LG41,saponin biosynthetic process [GO:0016135]; triterpenoid biosynthetic process [GO:0016104]
A0AAW1M2U7,glycosylation [GO:0070085]; saponin biosynthetic process [GO:0016135]; triterpenoid biosynthetic process [GO:0016104]
A0AAW1MQS1,glycosylation [GO:0070085]; saponin biosynthetic process [GO:0016135]; triterpenoid biosynthetic process [GO:0016104]
A0AAW1NEA3,saponin biosynthetic process [GO:0016135]; sterol metabolic process [GO:0016125]; triterpenoid biosynthetic process [GO:0016104]
A0AAW1NHX6,saponin biosynthetic process [GO:0016135]; triterpenoid biosynthetic process [GO:0016104]
A0QT90,base-excision repair [GO:0006284]
A0QVQ9,response to amino acid [GO:0043200]
A1L1L6,cellular homeostasis [GO:0019725]; establishment of mitochondrion localization by microtubule attachment [GO:0034640]; mitochondrial outer membrane permeabilization [GO:0097345]; mitochondrion transport along microtubule [GO:0047497]; regulation of mitochondrion organization [GO:0010821]; regulation of neurotransmitter secretion [GO:0046928]; regulation of organelle transport along microtubule [GO:1902513]
A1Z830,rRNA modification [GO:0000154]
A1ZB29,dTDP biosynthetic process [GO:0006233]; dTTP biosynthetic process [GO:0006235]; dUDP biosynthetic process [GO:0006227]
A2A5N3,chromatin remodeling [GO:0006338]; cytosolic mRNA polyadenylation [GO:0180011]; nucleus localization [GO:0051647]; oocyte maturation [GO:0001556]; transcription initiation-coupled chromatin remodeling [GO:0045815]
A2QQU4,small molecule biosynthetic process [GO:0044283]
A2QQU8,positive regulation of metabolic process [GO:0009893]
A2QQU9,biosynthetic process [GO:0009058]
A2QQV0,fatty acid biosynthetic process [GO:0006633]; methylation [GO:0032259]; secondary metabolic process [GO:0019748]; toxin biosynthetic process [GO:0009403]
A3C5V6,flavonoid biosynthetic process [GO:0009813]; pollen wall assembly [GO:0010208]; polyketide biosynthetic process [GO:0030639]
A3FMN3,apoptotic DNA fragmentation [GO:0006309]; digestive system process [GO:0022600]
A3KQ86,digestive tract morphogenesis [GO:0048546]; endocytosis [GO:0006897]; myelination [GO:0042552]; regulation of endocytosis [GO:0030100]
A3MTR6,carbohydrate derivative metabolic process [GO:1901135]; carbohydrate metabolic process [GO:0005975]
A5K264,amino acid biosynthetic process [GO:0008652]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]
A6IPG1,response to ethanol [GO:0045471]
A6TGC5,"DNA recombination [GO:0006310]; DNA replication initiation [GO:0006270]; DNA replication, synthesis of primer [GO:0006269]; double-strand break repair [GO:0006302]"
A6TGW7,DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260]
A6THB2,DNA replication [GO:0006260]
A7BJ45,suppression of blood coagulation in another organism [GO:0035899]; symbiont-mediated perturbation of host defenses [GO:0030682]
A7BJ46,suppression of blood coagulation in another organism [GO:0035899]; symbiont-mediated perturbation of host defenses [GO:0030682]
A7GKX6,polysaccharide biosynthetic process [GO:0000271]
A7GKX7,D-xylose metabolic process [GO:0042732]
A8JUV4,dorsal/ventral axis specification [GO:0009950]; vitelline membrane formation involved in chorion-containing eggshell formation [GO:0007305]
